geo_id,type,coordinates,highway
239,Point,"[116.41481809925536, 39.99089702991605]",10
240,Point,"[116.40083228306297, 39.99475960694643]",10
241,Point,"[116.40103953610932, 39.994611970974844]",10
242,Point,"[116.40084266589619, 39.99459680369131]",10
243,Point,"[116.40090366451253, 39.99363708441077]",10
244,Point,"[116.4009315181826, 39.993199075603975]",10
245,Point,"[116.40093820695901, 39.99309317345798]",10
246,Point,"[116.40096216704869, 39.99271626586886]",10
247,Point,"[116.40083970731263, 39.99180138619347]",10
248,Point,"[116.40085807404608, 39.99149077959999]",10
249,Point,"[116.4006589204653, 39.99475424661162]",10
250,Point,"[116.40056638640753, 39.99475141389375]",10
251,Point,"[116.40342715775449, 39.99350030271989]",6
252,Point,"[116.40346193082709, 39.990105069870935]",6
253,Point,"[116.4035154921105, 39.99362262827632]",6
254,Point,"[116.40347156315687, 39.99425024436923]",6
255,Point,"[116.40344290953728, 39.99466035488034]",6
256,Point,"[116.40390874683219, 39.99343930763227]",6
257,Point,"[116.40432080970567, 39.993360488414616]",6
258,Point,"[116.40466414412704, 39.993209246596074]",6
259,Point,"[116.40512766620611, 39.99289371247289]",6
260,Point,"[116.40539221427905, 39.99225022664845]",6
261,Point,"[116.4012513562011, 39.99343089152609]",6
262,Point,"[116.40106779391861, 39.99342503082204]",6
263,Point,"[116.40641159366807, 39.992233955507665]",6
264,Point,"[116.40541941623037, 39.99224273037678]",6
265,Point,"[116.4053935477024, 39.990947172774774]",6
266,Point,"[116.40527329398148, 39.990631541473846]",6
267,Point,"[116.405153054612, 39.990434214455654]",6
268,Point,"[116.40497281514, 39.990302679586385]",6
269,Point,"[116.40462944944446, 39.99016451394129]",6
270,Point,"[116.40413156339942, 39.99012491640589]",6
271,Point,"[116.40095100535089, 39.98991834616444]",10
272,Point,"[116.4009681727667, 39.98961713953758]",10
273,Point,"[116.40136705310115, 39.98998318587353]",11
274,Point,"[116.40029266333592, 39.98989761365446]",10
275,Point,"[116.39978836250435, 39.98988162330875]",10
276,Point,"[116.39942671111922, 39.98987678056892]",10
277,Point,"[116.39938609369328, 39.98987626419997]",10
278,Point,"[116.39877511877224, 39.98984960896239]",10
279,Point,"[116.39867507157302, 39.98984266559259]",10
280,Point,"[116.4037507734439, 39.99466652476997]",10
281,Point,"[116.40454872926446, 39.99479189163022]",10
282,Point,"[116.41032308748412, 39.988420774383904]",12
283,Point,"[116.41233535133283, 39.98848095371192]",12
284,Point,"[116.43514695319223, 39.98913124609479]",12
285,Point,"[116.43575457065727, 39.98897661618678]",12
286,Point,"[116.43576167993339, 39.989138214316526]",12
287,Point,"[116.44789212202589, 39.98539621646814]",12
288,Point,"[116.44831204380195, 39.98514738311197]",12
289,Point,"[116.4487259675803, 39.98487595229276]",12
290,Point,"[116.4642987085427, 39.97463391126894]",13
291,Point,"[116.46479782952643, 39.97397732933588]",13
292,Point,"[116.46445123884962, 39.9745262546554]",12
293,Point,"[116.48932857881772, 39.9546996374963]",13
294,Point,"[116.48937984630768, 39.95515460747561]",13
295,Point,"[116.4887964128179, 39.956027626309215]",12
296,Point,"[116.4884707928582, 39.956654289055024]",12
297,Point,"[116.48815343492808, 39.95723522469411]",12
298,Point,"[116.48771841801793, 39.957899499517296]",12
299,Point,"[116.48739645673689, 39.95835313966719]",12
300,Point,"[116.48654221463055, 39.959402020117544]",12
301,Point,"[116.4863920834822, 39.95956815412429]",12
302,Point,"[116.48553082459499, 39.960412332401745]",12
303,Point,"[116.484548085228, 39.961222338777816]",12
304,Point,"[116.4836630638421, 39.96194755134576]",12
305,Point,"[116.48290544961469, 39.9625117885433]",12
306,Point,"[116.48974561059232, 39.952921560226045]",12
307,Point,"[116.48960632609659, 39.95371129490769]",12
308,Point,"[116.49002936670405, 39.9418531945584]",12
309,Point,"[116.4900212860476, 39.944951142585545]",12
310,Point,"[116.49002061820316, 39.94518725399976]",12
311,Point,"[116.49002547131933, 39.947344226410905]",12
312,Point,"[116.27472035170605, 39.9207741505424]",9
313,Point,"[116.27551738089157, 39.920772631297766]",9
314,Point,"[116.27482036585154, 39.92036660524374]",8
315,Point,"[116.27483582404011, 39.91994919896212]",8
316,Point,"[116.27483190845628, 39.91984429177412]",8
317,Point,"[116.27429872358489, 39.92189929904279]",9
318,Point,"[116.27566171900126, 39.92189158530769]",9
319,Point,"[116.41163979051642, 39.94906457822365]",12
320,Point,"[116.4127502988493, 39.94912231439571]",12
321,Point,"[116.41161561129532, 39.94918228588727]",13
322,Point,"[116.4109301706459, 39.94926216350798]",13
323,Point,"[116.40829228233248, 39.949121550933825]",12
324,Point,"[116.405561117677, 39.94911452595196]",12
325,Point,"[116.40428574737788, 39.94910701010082]",12
326,Point,"[116.43252834908745, 39.94907127353246]",12
327,Point,"[116.43301380495996, 39.94870013783046]",12
328,Point,"[116.43328226830556, 39.94834213103621]",12
329,Point,"[116.43340756002358, 39.948150585792675]",12
330,Point,"[116.42693064931007, 39.9085005504275]",9
331,Point,"[116.42692813184615, 39.90834174552507]",9
332,Point,"[116.42517250330512, 39.90847940889127]",4
333,Point,"[116.44103480543522, 39.90860848353977]",10
334,Point,"[116.44098288386316, 39.90845585112813]",10
335,Point,"[116.44104180380579, 39.908699377501016]",10
336,Point,"[116.43936238402179, 39.908600218138915]",4
337,Point,"[116.43686839822654, 39.90861677823744]",4
338,Point,"[116.43644010501475, 39.908619611036734]",4
339,Point,"[116.45031236059741, 39.90853002013046]",8
340,Point,"[116.4503098502065, 39.90840161903746]",8
341,Point,"[116.44385008272457, 39.9085844853825]",4
